ID,AGE,SEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
103,18,M,3,4,2,4,2,3,1,2,2,5,2,3,2,4,4,3,3,2,1,3,3,1,1,1,1,3,1,3,1,2,1,2,1
119,22,F,2,4,2,1,2,2,4,3,4,2,1,1,1,2,2,4,2,1,1,2,2,1,1,1,1,2,2,1,1,4,2,2,2
120,21,F,4,4,4,4,2,3,1,2,1,4,1,4,4,4,4,2,3,3,4,5,5,1,4,2,2,4,2,4,2,2,4,5,1
136,22,F,4,4,4,2,4,1,2,2,4,3,3,2,1,2,3,3,2,1,4,2,1,3,4,4,1,5,1,4,4,1,1,5,3
141,21,M,4,5,4,4,4,4,1,2,2,4,1,4,4,5,5,2,4,2,4,5,5,2,2,2,4,2,3,4,1,4,4,4,1
148,23,M,2,2,4,2,4,2,2,2,4,2,4,1,2,2,2,1,4,4,4,2,2,4,4,4,4,4,2,2,4,4,2,4,4
153,21,F,4,3,4,4,4,3,2,2,3,4,2,3,4,4,3,2,3,4,4,4,3,3,2,2,3,4,3,4,3,3,4,2,1
157,21,F,4,4,4,5,4,4,3,3,3,4,1,4,4,4,4,2,4,3,4,4,3,2,2,2,3,5,3,4,1,4,2,2,4
161,21,M,5,4,5,5,4,3,2,2,1,4,2,4,3,4,4,2,4,3,2,4,4,2,2,2,1,4,3,4,1,3,2,4,2
170,23,M,5,3,1,4,4,3,3,1,5,2,1,1,4,3,4,3,4,1,4,3,4,2,1,1,5,4,1,5,2,1,4,1,5
175,22,M,4,4,2,4,3,3,1,2,1,4,2,3,2,4,4,1,5,2,4,4,4,2,1,1,3,4,3,4,1,2,2,1,1
181,21,F,4,3,5,4,4,3,1,4,2,2,2,4,1,4,4,3,4,1,5,4,2,1,4,1,1,2,2,2,1,1,1,4,1
193,21,M,3,4,2,3,4,2,2,2,2,4,2,2,2,4,4,3,3,2,3,3,4,1,1,1,2,2,2,4,1,2,2,1,2
195,22,M,4,4,4,4,4,3,1,2,1,4,1,3,4,4,4,2,4,2,3,4,4,1,1,1,4,4,3,4,1,2,4,2,1
200,21,M,5,5,5,5,5,5,1,1,1,5,1,4,5,5,5,1,5,5,5,5,5,1,1,1,5,3,5,5,1,5,5,1,1
202,20,M,2,4,1,4,1,3,2,2,4,5,1,4,4,4,5,4,1,1,1,3,5,2,2,2,3,1,1,2,2,1,4,1,1
208,22,M,4,4,1,5,3,3,2,2,1,2,2,2,2,4,3,2,2,1,3,4,4,3,2,2,2,4,2,3,3,2,1,2,2
211,21,F,3,2,4,4,4,4,1,1,1,2,2,2,5,4,2,2,2,2,4,4,2,1,1,1,4,2,4,2,2,4,4,2,3
222,22,M,3,2,2,4,4,3,1,4,2,2,2,3,1,4,3,2,3,2,4,4,3,1,3,1,1,2,3,3,1,2,1,3,3
223,21,M,4,4,2,3,4,2,2,4,1,5,1,3,2,4,5,3,0,0,2,3,5,1,1,1,2,1,1,2,1,2,2,1,1
228,22,M,4,5,2,4,5,4,1,2,1,4,2,2,3,4,4,2,4,3,4,4,2,3,2,2,5,2,2,4,2,3,2,4,2
230,21,M,5,4,1,4,2,4,1,2,1,4,1,2,2,4,4,2,4,2,2,4,4,1,1,1,2,1,1,4,1,1,2,1,1
236,21,M,4,5,4,5,5,4,1,2,1,5,1,5,4,5,5,1,2,2,2,4,5,1,1,1,4,2,1,4,1,1,3,1,1
246,22,M,3,4,4,2,4,2,1,2,2,4,2,2,2,4,4,2,4,2,4,4,2,1,2,2,4,4,2,4,2,2,2,2,3
249,22,M,4,1,4,5,4,4,1,2,1,4,1,4,3,5,5,2,5,3,4,4,4,2,2,2,3,4,3,4,2,4,3,1,2
256,19,M,4,3,4,5,3,4,2,2,2,4,1,3,3,4,4,2,4,4,4,4,3,2,3,1,1,4,3,3,2,3,1,1,1
267,22,M,1,3,1,2,1,1,4,5,4,5,3,1,2,1,3,2,1,1,4,2,1,4,4,4,1,2,5,2,1,3,2,2,1
275,22,F,3,3,4,4,2,2,3,3,2,4,1,2,1,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,1,2,1,1
314,21,F,1,2,1,1,1,1,4,4,5,2,1,2,4,2,2,2,1,1,3,1,2,3,5,5,4,3,2,4,3,2,4,4,1
318,22,M,4,2,2,4,2,3,2,2,2,3,2,3,4,4,3,2,4,3,4,4,3,3,2,3,2,3,2,3,3,3,2,2,2
320,23,M,2,1,4,4,2,1,4,2,2,2,1,2,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,1,2,2,2
322,21,M,4,3,4,3,2,2,3,4,1,2,4,1,2,3,2,2,3,5,5,4,3,2,4,3,3,5,2,2,2,1,1,2,4
330,21,M,3,4,2,3,4,3,3,2,2,4,1,2,2,3,4,4,4,2,3,4,3,2,2,2,2,3,3,3,2,3,3,2,2
333,22,M,4,2,1,4,4,4,1,3,2,4,1,3,2,4,4,2,4,2,4,4,5,1,1,2,2,1,2,3,2,1,2,2,2
336,23,F,5,5,5,5,5,5,1,1,1,4,1,2,3,4,5,1,5,4,5,5,5,1,1,1,2,4,1,3,1,1,1,1,1
340,21,F,2,1,4,2,4,1,4,1,3,2,4,1,4,1,1,4,1,2,4,1,2,2,5,5,3,5,2,4,5,2,2,5,5
348,21,M,2,3,1,3,2,2,1,2,2,3,2,2,4,4,4,4,2,2,2,2,4,2,2,1,1,1,2,2,1,1,2,2,1
356,21,F,2,2,3,1,1,1,4,5,5,1,4,3,5,3,3,4,1,1,4,1,2,2,5,3,4,5,1,3,5,2,2,5,5
370,22,M,4,5,2,4,2,4,1,2,1,4,1,2,4,4,4,2,4,1,4,4,4,1,1,1,4,4,1,4,1,1,1,1,1
375,23,F,4,4,4,5,4,4,2,3,1,4,2,3,2,4,5,2,4,2,5,5,5,2,2,2,2,4,2,2,1,2,1,1,1
383,22,M,4,1,1,5,4,3,1,1,1,1,2,3,4,4,2,2,1,2,3,4,1,4,4,2,4,4,2,5,4,4,2,4,2
388,20,M,2,1,4,5,5,4,1,1,2,1,1,5,1,3,5,2,1,1,1,2,5,1,1,1,1,2,1,3,1,1,1,1,1
391,22,M,2,3,2,4,4,1,3,1,4,2,4,4,4,3,1,2,2,3,4,3,1,5,3,5,3,5,3,4,4,3,4,2,4
403,25,M,4,4,3,5,4,4,1,2,2,4,1,3,2,4,4,1,4,4,4,4,4,1,2,1,2,5,3,4,2,3,2,1,1
404,21,M,4,4,3,4,5,3,2,1,1,3,2,1,5,4,4,1,4,2,4,4,3,2,4,3,5,5,2,5,3,1,4,4,3
405,25,M,5,4,4,5,5,5,1,1,1,4,1,2,3,5,4,1,3,4,4,5,4,2,1,1,4,4,3,4,1,3,2,2,1
407,21,M,5,4,5,5,5,4,1,2,1,4,1,5,4,4,4,1,5,4,4,5,5,5,2,1,4,4,4,5,1,4,5,2,2
410,22,F,2,2,2,3,2,2,3,3,4,2,3,1,2,2,2,4,3,2,4,2,2,4,3,4,3,4,2,3,3,1,1,4,3
431,22,F,4,4,4,5,4,5,1,4,1,2,1,4,2,4,4,1,5,4,4,5,5,2,2,2,2,4,4,2,4,5,2,2,1
444,,M,1,4,1,2,2,2,2,2,2,1,2,2,2,2,3,5,1,1,4,2,1,5,1,4,1,1,1,1,1,1,1,2,1
456,21,F,2,3,2,4,3,2,2,2,2,4,1,3,2,4,4,3,2,2,4,4,3,1,2,3,2,4,3,3,1,2,2,1,2
457,22,M,3,4,2,3,3,4,2,3,2,4,2,2,3,4,4,2,4,2,3,4,4,2,1,1,2,2,2,3,1,2,2,2,1
465,22,M,4,5,4,4,4,4,1,2,2,5,1,3,4,4,5,2,4,4,5,4,5,1,4,2,4,4,3,4,1,2,4,5,2
502,24,M,4,4,1,5,4,4,1,2,1,5,1,2,2,5,5,2,5,1,1,4,5,1,1,1,1,2,1,2,1,1,1,1,1
503,20,M,3,4,3,2,4,3,2,5,2,3,1,2,1,4,4,3,4,2,4,4,5,2,2,2,3,3,1,2,1,4,2,1,2
504,21,M,4,4,4,4,3,4,2,2,2,3,2,4,2,4,4,2,4,2,4,4,4,2,2,2,2,2,2,4,2,2,2,2,2
553,21,F,4,2,1,4,2,2,1,2,4,2,1,2,1,2,2,5,2,4,2,2,1,4,5,4,1,4,1,2,4,2,1,4,2
555,24,F,5,3,4,5,5,3,1,1,1,3,2,4,4,5,3,1,2,1,5,4,5,1,1,1,1,4,3,3,1,1,2,2,2
556,21,M,4,3,2,4,2,2,2,2,2,2,2,4,3,3,2,1,2,2,2,4,3,2,2,2,2,2,3,2,2,2,2,2,2
560,21,F,1,1,2,2,4,1,4,1,4,1,4,2,4,2,1,2,1,1,4,2,1,5,5,5,2,4,2,4,5,1,2,4,4
568,24,F,4,4,4,4,2,2,1,4,1,5,1,4,1,4,4,2,5,5,5,4,3,1,1,1,1,4,2,2,1,3,1,1,2
570,20,F,3,4,2,4,4,2,2,4,3,4,2,3,2,4,3,2,4,3,4,3,2,3,4,4,2,4,3,4,3,3,2,2,2
572,22,M,5,5,4,4,4,4,2,1,1,3,1,4,4,4,4,2,4,2,3,4,4,2,1,1,3,2,2,4,1,2,4,2,3
575,26,M,5,3,5,5,3,4,1,1,2,4,2,3,4,5,4,1,5,3,5,5,4,2,5,1,4,5,3,4,1,1,3,4,3
576,26,M,4,5,3,4,4,4,2,2,4,2,3,4,4,4,4,3,4,5,5,5,2,2,1,1,3,4,3,4,2,3,2,1,2
577,22,F,4,4,4,4,4,4,1,1,2,3,2,4,3,5,4,1,3,3,2,4,1,2,1,1,0,2,2,4,2,3,4,1,3
589,22,F,4,4,4,5,5,2,2,1,1,3,1,2,5,2,3,1,1,1,5,3,3,4,2,4,5,4,5,5,3,4,3,3,1
603,22,M,4,3,4,5,4,3,2,3,2,3,1,3,3,4,3,2,3,3,3,4,4,4,2,2,3,3,3,4,2,3,2,2,3
608,21,M,4,4,2,4,4,4,1,2,1,4,1,2,4,4,4,2,4,2,4,4,5,1,2,1,4,2,3,4,1,2,4,2,2
614,22,M,4,5,1,4,4,4,1,2,1,5,1,2,2,4,5,2,3,1,2,4,4,2,1,1,2,4,2,4,1,1,2,1,1
621,21,F,1,2,2,2,1,1,5,5,5,3,4,1,2,1,3,4,2,2,2,1,2,5,5,5,2,3,1,2,5,1,2,4,4
644,21,M,4,4,3,5,5,5,1,2,2,4,3,2,4,4,5,2,4,4,4,4,3,2,2,1,4,5,4,5,2,3,4,2,3
653,22,M,4,5,3,4,4,4,1,2,1,4,1,4,1,5,4,1,4,3,4,4,5,2,1,1,2,3,2,4,1,3,1,1,1
665,20,M,4,4,2,5,4,2,1,4,2,3,4,2,2,2,4,1,4,4,4,5,4,4,2,5,2,5,4,4,4,5,3,5,5
667,21,M,4,4,1,4,2,3,2,2,1,4,1,2,4,4,4,2,4,2,2,4,4,2,2,2,4,2,2,4,2,1,2,2,1
668,20,F,3,4,5,5,4,3,5,2,1,3,1,5,2,5,3,1,1,2,5,5,1,5,4,4,4,5,5,5,2,1,1,1,1
672,22,M,3,4,3,4,4,2,3,2,3,3,2,2,3,3,4,2,4,2,3,3,3,3,3,3,2,3,3,4,2,2,2,3,3
676,22,M,5,5,1,5,5,5,1,1,1,4,1,4,5,5,5,1,4,3,3,4,4,1,1,1,4,4,3,4,1,3,5,2,1
683,21,F,4,3,4,5,5,4,2,2,2,4,2,3,3,4,3,1,3,2,4,4,3,2,3,2,2,3,2,3,1,2,3,1,2
688,21,F,2,2,2,1,1,1,2,5,5,1,2,2,2,1,2,5,3,1,2,2,3,3,1,3,2,2,1,2,2,1,1,1,1
700,26,M,4,4,5,5,4,3,1,1,1,5,1,5,2,5,4,1,4,4,5,5,5,1,1,1,2,5,5,5,1,4,2,2,1
721,21,M,3,3,4,3,3,3,2,2,2,4,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,2,3,3,2,3
723,21,M,4,3,4,4,3,2,2,2,1,3,2,3,4,4,3,2,3,2,3,4,2,4,4,3,2,5,3,4,4,3,2,2,2
758,21,M,3,5,1,4,3,3,2,1,2,4,2,1,4,4,4,2,3,2,5,4,3,4,3,4,1,2,2,4,4,2,2,3,2
778,21,M,3,3,4,4,2,3,2,2,2,4,2,3,2,4,3,2,4,1,3,4,3,2,2,2,2,2,2,3,2,2,2,2,3
790,20,F,4,3,4,4,5,4,2,2,2,3,3,4,4,4,3,2,3,2,4,4,3,3,4,2,3,5,4,4,3,4,3,5,3
797,20,M,4,4,1,2,2,3,2,2,2,2,2,2,3,4,4,4,2,2,4,2,4,2,1,2,1,1,1,2,2,1,2,3,2
812,21,M,3,3,2,1,2,4,1,2,2,2,1,2,3,4,4,2,4,1,1,2,2,2,1,1,2,2,1,3,1,1,2,3,1
817,22,M,4,5,2,5,5,4,1,1,1,5,2,2,5,5,4,1,4,2,5,5,2,2,1,1,2,4,1,5,2,1,2,1,1
821,20,F,3,2,4,4,3,3,2,3,2,4,1,2,2,4,3,3,4,3,4,4,4,2,2,2,2,3,3,2,1,2,2,2,2
829,22,M,4,5,4,4,5,3,1,1,1,4,1,4,5,4,4,1,3,2,4,5,5,1,1,1,3,2,3,4,1,3,4,1,1
854,22,M,2,2,3,2,3,3,2,5,2,2,2,4,2,3,2,4,3,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2
869,21,F,2,3,3,3,4,3,2,1,1,3,2,3,4,4,3,2,3,2,3,3,3,2,2,2,3,3,3,4,2,2,2,2,2
900,23,M,5,5,2,5,5,3,1,1,1,4,1,3,4,5,5,3,4,1,4,4,4,2,1,1,4,2,3,4,1,3,3,1,2
911,21,F,3,2,2,4,2,3,2,2,2,2,2,2,3,4,2,3,2,2,3,2,2,4,3,3,4,3,2,3,4,1,4,2,3
915,21,M,2,4,3,1,3,1,5,2,4,4,4,3,4,2,3,2,3,2,2,2,2,5,4,4,2,3,2,4,3,2,4,4,5
920,22,M,5,5,4,4,3,4,1,5,2,5,1,4,4,5,5,2,5,2,5,5,5,1,1,1,2,1,2,4,1,1,3,1,1
938,22,M,4,5,2,2,5,3,1,2,1,5,1,4,2,4,5,4,2,1,3,3,5,3,1,1,2,5,2,3,1,1,2,4,1
948,23,F,5,2,5,5,4,5,1,1,1,3,2,5,3,5,3,1,4,3,5,5,3,1,1,1,2,5,4,4,2,4,5,1,1
959,21,M,3,4,4,4,2,3,1,2,1,4,1,2,2,4,4,2,4,2,5,4,4,2,2,2,4,4,2,3,2,1,2,3,1
969,21,M,4,2,1,5,5,4,1,1,1,1,1,1,5,4,2,2,2,2,4,4,2,4,2,4,4,4,0,5,4,1,5,5,2
977,20,F,4,4,3,4,4,3,2,2,2,4,2,3,3,4,4,2,4,4,4,4,4,2,2,2,2,3,4,4,2,2,2,2,2
997,21,M,3,4,4,4,5,4,1,2,2,4,2,1,2,4,4,2,4,1,2,4,3,4,2,2,3,1,2,4,2,2,4,2,2